2024-11-09,500.000000,EXPENSE,rent
2024-11-08,1500.000000,INCOME,bonus
2024-11-07,200.000000,EXPENSE,groceries
2024-11-06,2000.000000,INCOME,freelance
2024-11-05,1000.000000,EXPENSE,utilities
2024-11-04,1200.000000,INCOME,salary
2024-11-03,150.000000,EXPENSE,transportation
2024-11-02,700.000000,INCOME,investment
2024-11-01,400.000000,EXPENSE,dining
2024-10-31,2500.000000,INCOME,bonus
2024-10-30,600.000000,EXPENSE,insurance
2024-10-29,3000.000000,INCOME,freelance
2024-10-28,250.000000,EXPENSE,groceries
2024-10-27,3500.000000,INCOME,salary
2024-10-26,800.000000,EXPENSE,utilities
2024-10-25,1100.000000,INCOME,investment
2024-10-24,150.000000,EXPENSE,transportation
2024-10-23,500.000000,INCOME,bonus
2024-10-22,700.000000,EXPENSE,dining
2024-10-21,1500.000000,INCOME,freelance
2024-10-20,100.000000,EXPENSE,insurance
2024-10-19,3000.000000,INCOME,salary
2024-10-18,400.000000,EXPENSE,rent
2024-10-17,2200.000000,INCOME,bonus
2024-10-16,500.000000,EXPENSE,utilities
2024-10-15,1800.000000,INCOME,freelance
2024-10-14,300.000000,EXPENSE,groceries
2024-10-13,2300.000000,INCOME,investment
2024-10-12,450.000000,EXPENSE,transportation
2024-10-11,1000.000000,INCOME,salary
2024-10-10,350.000000,EXPENSE,dining
2024-10-09,2500.000000,INCOME,bonus
2024-10-08,200.000000,EXPENSE,insurance
2024-10-07,3500.000000,INCOME,freelance
2024-10-06,300.000000,EXPENSE,utilities
2024-10-05,400.000000,INCOME,salary
2024-10-04,600.000000,EXPENSE,rent
2024-10-03,300.000000,INCOME,investment
2024-10-02,150.000000,EXPENSE,transportation
2024-10-01,800.000000,INCOME,bonus
2024-09-30,500.000000,EXPENSE,dining
2024-09-29,1500.000000,INCOME,freelance
2024-09-28,400.000000,EXPENSE,utilities
2024-09-27,2200.000000,INCOME,investment
2024-09-26,600.000000,EXPENSE,insurance
